timestamp,room,voltage,current,power,energy_kwh,bill_taka,carbon_gco2
2025-11-23 00:00:00,FUB-101,222.38,0.83,184.58,0.003076,0.0308,0.000717
2025-11-23 00:01:00,FUB-101,215.99,4.92,1062.67,0.017711,0.1771,0.004127
2025-11-23 00:02:00,FUB-101,228.0,1.1,250.8,0.00418,0.0418,0.000974
2025-11-23 00:03:00,FUB-101,224.07,0.69,154.61,0.002577,0.0258,0.0006
2025-11-23 00:04:00,FUB-101,236.11,2.42,571.39,0.009523,0.0952,0.002219
2025-11-23 00:05:00,FUB-101,238.59,1.64,391.29,0.006522,0.0652,0.00152
2025-11-23 00:06:00,FUB-101,232.62,3.56,828.13,0.013802,0.138,0.003216
2025-11-23 00:07:00,FUB-101,217.98,4.56,993.99,0.016566,0.1657,0.00386
2025-11-23 00:08:00,FUB-101,237.37,2.54,602.92,0.010049,0.1005,0.002341
2025-11-23 00:09:00,FUB-101,225.11,2.5,562.78,0.00938,0.0938,0.002186
2025-11-23 00:10:00,FUB-101,222.78,0.86,191.59,0.003193,0.0319,0.000744
2025-11-23 00:11:00,FUB-101,226.51,3.33,754.28,0.012571,0.1257,0.002929
2025-11-23 00:12:00,FUB-101,239.26,2.5,598.15,0.009969,0.0997,0.002323
2025-11-23 00:13:00,FUB-101,235.21,2.24,526.87,0.008781,0.0878,0.002046
2025-11-23 00:14:00,FUB-101,232.01,3.52,816.68,0.013611,0.1361,0.003171
2025-11-23 00:15:00,FUB-101,237.1,0.74,175.45,0.002924,0.0292,0.000681
2025-11-23 00:16:00,FUB-101,224.04,0.93,208.36,0.003473,0.0347,0.000809
2025-11-23 00:17:00,FUB-101,226.85,3.75,850.69,0.014178,0.1418,0.003303
2025-11-23 00:18:00,FUB-101,218.82,0.79,172.87,0.002881,0.0288,0.000671
2025-11-23 00:19:00,FUB-101,218.25,4.56,995.22,0.016587,0.1659,0.003865
2025-11-23 00:20:00,FUB-101,234.36,1.73,405.44,0.006757,0.0676,0.001574
2025-11-23 00:21:00,FUB-101,219.23,1.34,293.77,0.004896,0.049,0.001141
